call_type_a,call_type_b,call_type_c,ORIGIN_CALL,ORIGIN_STAND,MISSING_DATA,lon_1st,lat_1st,delta_lon,delta_lat,lon_last,lat_last
0,1,0,1,1,1,-8.607096,41.150286,-0.07199999999999918,0.007874999999998522,-8.679096,41.158161
0,0,1,1,1,1,-8.638533,41.159133,0.05268600000000134,-0.010376999999998304,-8.585847,41.148756
0,1,0,1,1,1,-8.60652,41.144562,0.01176300000000019,0.014274000000000342,-8.594757,41.158836
0,1,0,1,1,1,-8.628246,41.157333,0.02304900000000032,-0.010665000000003033,-8.605197,41.146668
0,1,0,1,1,1,-8.607123,41.150331,-0.003132000000000801,0.0031139999999965084,-8.610255,41.153445
0,0,1,1,1,1,-8.585613,41.148441,-0.03390300000000046,0.08846100000000234,-8.619516,41.236902
0,0,1,1,1,1,-8.611164,41.147811,0.03654900000000083,-0.005021999999996751,-8.574615,41.142789
0,0,1,1,1,1,-8.661204,41.163219,-0.00803699999999985,0.00027899999999903,-8.669241,41.163498
0,1,0,1,1,1,-8.585649,41.148549,0.01097999999999999,-0.005787000000005094,-8.574669,41.142762
0,0,1,1,1,1,-8.61561,41.14071,-0.03714300000000037,0.03918600000000083,-8.652753,41.179896
1,0,0,1,1,1,-8.625798,41.157387,0.009611999999998844,0.006903000000001214,-8.616186,41.16429
1,0,0,1,1,1,-8.617095,41.171409,-0.013238999999998668,0.012869999999999493,-8.630334,41.184279
0,0,1,1,1,1,-8.669349,41.157639,0.03967200000000126,0.007865999999999929,-8.629677,41.165505
0,0,1,1,1,1,-8.617761,41.169978,-0.008117999999999626,-0.012663000000003422,-8.625879,41.157315
0,0,1,1,1,1,-8.604234,41.149512,0.0413370000000004,0.017837999999997578,-8.562897,41.16735
0,0,1,1,1,1,-8.630172,41.158314,0.009729000000000099,-0.011168999999995322,-8.620443,41.147145
0,1,0,1,1,1,-8.585631,41.148594,-0.047565000000000524,0.010070999999996388,-8.633196,41.158665
0,0,1,1,1,1,-8.614233,41.148441,0.007614000000000232,0.0050670000000039295,-8.606619,41.153508
1,0,0,1,1,1,-8.586693,41.178303,0.021447000000000216,-0.003546000000000049,-8.565246,41.174757
0,1,0,1,1,1,-8.627157,41.166891,-0.03234600000000043,-0.006444000000001893,-8.659503,41.160447
0,0,1,1,1,1,-8.611011,41.145723,-0.05913900000000005,0.09193500000000654,-8.67015,41.237658
0,1,0,1,1,1,-8.584281,41.163156,-0.04703400000000002,-0.00875700000000279,-8.631315,41.154399
0,0,1,1,1,1,-8.569566,41.167629,-0.07834500000000055,-0.015155999999997505,-8.647911,41.152473
0,1,0,1,1,1,-8.6274,41.163336,-0.0022500000000000853,0.027170999999995615,-8.62965,41.190507
0,1,0,1,1,1,-8.614017,41.141169,-0.09160199999999996,0.05069699999999955,-8.705619,41.191866
1,0,0,1,1,1,-8.624187,41.17626,-0.022509000000001222,-0.022076999999995905,-8.646696,41.154183
0,1,0,1,1,1,-8.610624,41.145246,0.0030959999999993215,-0.0007289999999997576,-8.607528,41.144517
0,1,0,1,1,1,-8.62884,41.160978,0.007155000000000911,-0.011375999999998498,-8.621685,41.149602
0,0,1,1,1,1,-8.648775,41.148594,0.06140700000000088,-0.0003330000000048017,-8.587368,41.148261
0,1,0,1,1,1,-8.617725,41.146146,0.028278000000000247,-0.0008729999999985694,-8.589447,41.145273
1,0,0,1,1,1,-8.639127,41.150547,0.03079800000000077,0.0027899999999974057,-8.608329,41.153337
0,1,0,1,1,1,-8.630262,41.157387,-0.012798000000000087,-0.0085770000000025,-8.64306,41.14881
1,0,0,1,1,1,-8.595702,41.162157,-0.1103310000000004,0.02413800000000066,-8.706033,41.186295
0,1,0,1,1,1,-8.611092,41.148999,0.022319999999998785,0.016280999999999324,-8.588772,41.16528
0,0,1,1,1,1,-8.649468,41.154336,0.044514000000001275,-0.010530000000002815,-8.604954,41.143806
0,1,0,1,1,1,-8.619822,41.14827,0.01594799999999985,0.03465000000000629,-8.603874,41.18292
1,0,0,1,1,1,-8.600742,41.16042,0.015119999999999578,-0.011619000000003155,-8.585622,41.148801
0,1,0,1,1,1,-8.619849,41.148099,-0.009558000000000177,0.010574999999995782,-8.629407,41.158674
1,0,0,1,1,1,-8.614764,41.140962,0.015344999999999942,0.01239299999999588,-8.599419,41.153355
0,1,0,1,1,1,-8.628561,41.157189,0.02041200000000032,-0.0037440000000046325,-8.608149,41.153445
0,0,1,1,1,1,-8.614755,41.140305,0.018197999999999936,0.005193000000005554,-8.596557,41.145498
0,0,1,1,1,1,-8.6139,41.14728,0.02330999999999861,0.015363000000000682,-8.59059,41.162643
0,1,0,1,1,1,-8.626788,41.1669,-0.00930600000000048,-0.026252999999996973,-8.636094,41.140647
0,1,0,1,1,1,-8.606547,41.144598,0.009531000000000844,0.028961999999999932,-8.597016,41.17356
0,1,0,1,1,1,-8.584272,41.163039,-0.052362000000000464,0.025415999999999883,-8.636634,41.188455
0,1,0,1,1,1,-8.613243,41.154399,-0.03608999999999973,0.011808000000002039,-8.649333,41.166207
0,1,0,1,1,1,-8.613315,41.166873,0.008748000000000644,0.013220999999994376,-8.604567,41.180094
